Listening_Date,Time,Track_Name,Genre,Valence,Energy,Mood_Now,Activity,Day_Rating
2025-12-01,3:01,Dominga,Indie,0.62,0.68,7,Commuting,7
2025-12-01,3:09,West,Indie,0.48,0.6,7,Working,7
2025-12-01,3:12,No Limit,Hip-Hop,0.71,0.82,7,Working,7
2025-12-01,3:16,No Limit,Hip-Hop,0.71,0.82,7,Working,7
2025-12-01,3:20,My Day,Indie,0.56,0.64,7,Working,7
2025-12-01,3:27,City Girl,Hip-Hop,0.83,0.88,6,Working,7
2025-12-01,4:00,D14U,Indie,0.44,0.58,8,Working,7
2025-12-01,7:13,Ego,Pop,0.35,0.46,8,Working,7
2025-12-01,7:15,2:00 AM,Indie,0.29,0.42,8,Commuting,7
2025-12-01,7:18,Ego,Pop,0.35,0.46,8,Working,7
2025-12-01,7:20,Nicotine,Indie,0.41,0.55,7,Working,7
2025-12-01,7:20,Palaisipan,Hip-Hop,0.22,0.4,7,Working,7
2025-12-01,7:25,Ego,Pop,0.35,0.46,7,Working,7
2025-12-01,7:51,I'm Scared I'll Never Sleep Again,Rock,0.18,0.36,8,Working,5
2025-12-02,3:25,Ego,Pop,0.35,0.45,4,Working,5
2025-12-02,3:56,Ego,Pop,0.35,0.45,4,Working,5
2025-12-02,4:10,Ego,Pop,0.35,0.45,4,Working,5
2025-12-02,4:14,Chinay,Hip-Hop,0.58,0.65,4,Working,5
2025-12-02,4:17,The One,Pop,0.5,0.55,4,Working,5
2025-12-02,4:21,Dominga,Hip-Hop,0.58,0.65,4,Working,5
2025-12-02,4:23,2:00 AM,Hip-Hop,0.58,0.65,4,Working,5
2025-12-02,4:29,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,4:39,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,4:48,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,4:54,She Looks So Perfect,Rock,0.68,0.95,4,Working,5
2025-12-02,4:56,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,4:59,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,5:22,Start Over,Rock,0.52,0.75,4,Working,5
2025-12-02,5:27,Ghost Of You,Pop,0.52,0.75,4,Working,5
2025-12-02,5:42,Ghost,Rock,0.52,0.75,4,Working,5
2025-12-02,6:31,I'm Scared I'll Never Sleep Again,Rock,0.52,0.75,4,Working,5
2025-12-02,6:34,Sick of Myself,Pop,0.52,0.75,4,Working,5
2025-12-02,6:49,parasite,Pop,0.5,0.55,4,Working,5
2025-12-02,6:51,Sick of Myself,Pop,0.52,0.75,4,Working,5
2025-12-02,7:03,Sick of Myself,Pop,0.52,0.75,4,Working,5
2025-12-02,7:23,Streetwise,Rock,0.52,0.75,4,Working,5
2025-12-02,7:26,Sick of Myself,Pop,0.52,0.75,4,Working,5
2025-12-02,7:29,CAROUSEL,Rock,0.55,0.65,4,Working,5
2025-12-02,7:32,CAROUSEL,Rock,0.55,0.65,4,Working,5
2025-12-02,7:36,Why Won't You Love Me,Pop,0.52,0.75,4,Working,5
2025-12-02,8:09,CAROUSEL,Rock,0.55,0.65,4,Working,5
2025-12-02,8:12,CAROUSEL,Rock,0.55,0.65,4,Working,5
2025-12-02,8:29,CAROUSEL,Rock,0.55,0.65,4,Working,5
2025-12-02,8:35,Diamonds,Pop,0.5,0.55,4,Working,5
2025-12-02,8:38,Vibrate,R&B,0.58,0.65,4,Working,5
