Listening_Date,Time,Track_Name,Genre,Valence,Energy,Mood_Now,Activity,Day_Rating
2026-01-19,12:30,Perfect World,Pop,0.6,0.95,5,Studying,6
2026-01-19,12:33,BETTER,Pop,0.72,0.88,5,Studying,6
2026-01-19,12:36,Good at Love,Pop,0.55,0.65,5,Studying,6
2026-01-19,12:39,Fanfare,Pop,0.92,0.9,5,Studying,6
2026-01-19,12:41,Kura Kura,Pop,0.68,0.82,5,Studying,6
2026-01-19,12:45,Four-leaf Clover,Pop,0.8,0.75,5,Studying,6
2026-01-19,12:48,In the summer,Pop,0.85,0.7,5,Studying,6
2026-01-19,12:51,PIECES OF LOVE,Pop,0.78,0.72,5,Studying,6
2026-01-19,12:54,"Thank you, Family",Pop,0.5,0.45,5,Studying,6
2026-01-19,13:12,PROMISE,Pop,0.4,0.35,5,Studying,6
2026-01-19,13:16,The Feels,Pop,0.9,0.92,5,Studying,6
2026-01-20,13:57,Scientist,Pop,0.82,0.78,5,Eating,6
2026-01-20,14:00,Moonlight,Pop,0.9,0.8,5,Eating,6
2026-01-20,14:03,Icon,Pop,0.65,0.82,5,Eating,6
2026-01-20,14:06,Cruel,Pop,0.7,0.75,5,Eating,6
2026-01-20,14:09,Real You,Pop,0.75,0.88,6,Studying,6
2026-01-20,14:12,F.I.L.A (Fall In Love Again),Pop,0.88,0.9,6,Studying,6
2026-01-20,14:15,Last Waltz,Pop,0.58,0.72,6,Studying,6
2026-01-20,14:19,Espresso,Pop,0.62,0.85,6,Studying,6
2026-01-20,14:22,Rewind,Pop,0.4,0.38,6,Studying,6
2026-01-20,14:22,Cactus,Pop,0.35,0.42,6,Studying,6
2026-01-20,14:25,Push & Pull,Pop,0.85,0.9,6,Studying,6
2026-01-20,14:27,Hello,Pop,0.72,0.88,6,Studying,6
2026-01-20,14:30,"1,3,2",Pop,0.68,0.7,6,Studying,6
2026-01-20,14:33,Candy,Pop,0.5,0.35,6,Studying,6
2026-01-20,14:35,The Feels,Pop,0.9,0.92,6,Studying,6
2026-01-21,16:21,The Feels,Pop,0.9,0.92,6,Meeting,6
2026-01-21,16:24,Scientist,Pop,0.82,0.78,6,Meeting,6
2026-01-21,16:28,Moonlight,Pop,0.9,0.8,6,Meeting,6
2026-01-22,11:23,Icon,Pop,0.65,0.82,5,Cooking,6
2026-01-22,11:25,Cruel,Pop,0.7,0.75,5,Cooking,6
2026-01-22,11:30,Real You,Pop,0.75,0.88,5,Cooking,6
2026-01-22,11:35,F.I.L.A (Fall In Love Again),Pop,0.88,0.9,5,Cooking,6
2026-01-22,11:38,Last Waltz,Pop,0.58,0.72,5,Cooking,6
2026-01-23,20:15,Espresso,Pop,0.62,0.85,5,Exercising,6
2026-01-23,20:19,Rewind,Pop,0.4,0.38,5,Exercising,6
2026-01-24,20:22,Cactus,Pop,0.35,0.42,5,Exercising,6
2026-01-24,20:25,Push & Pull,Pop,0.85,0.9,5,Exercising,6
2026-01-24,20:30,Hello,Pop,0.72,0.88,5,Exercising,6
2026-01-24,21:50,"1,3,2",Pop,0.68,0.7,5,Exercising,6
2026-01-24,21:58,Candy,Pop,0.5,0.35,5,Exercising,6
2026-01-24,22:03,"1,3,2",Pop,0.68,0.7,5,Exercising,6
2026-01-25,8:01,Ghost,Rock,0.52,0.75,7,Gaming,6
2026-01-25,8:05,Ghost,Rock,0.52,0.75,7,Gaming,6
2026-01-25,8:10,Ghost,Rock,0.52,0.75,7,Gaming,6
